end_date,fiscal_period,fiscal_year,revenue,cogs,gross_profit,gross_margin_q,gross_margin_pct,calendar_year,calendar_quarter,period_label,gross_margin_qoq,gross_margin_yoy
2017-08-27,Q1,2019,1804200000,1285200000,519000000,0.28766212171599603,28.766212171599605,2017,3,2017 Q3,,
2017-11-26,Q2,2019,2173400000,1515100000,658300000,0.3028894819177326,30.288948191773258,2017,4,2017 Q4,1.522736020173653,
2018-02-25,Q3,2019,1994500000,1395700000,598800000,0.3002256204562547,30.022562045625474,2018,1,2018 Q1,-0.26638614614778433,
2018-08-26,Q1,2020,1834400000,1318900000,515500000,0.2810183166157872,28.101831661578718,2018,3,2018 Q3,-1.920730384046756,
2018-11-25,Q2,2020,4218100000,3025400000,1192700000,0.28275763969559753,28.275763969559755,2018,4,2018 Q4,0.17393230798103687,-0.4904482020398504
2019-02-24,Q3,2020,6925200000,4980200000,1945000000,0.2808583145613123,28.08583145613123,2019,1,2019 Q1,-0.18993251342852346,-2.203116735642027
2019-08-25,Q1,2021,2390700000,1726200000,664500000,0.27795206424896474,27.795206424896474,2019,3,2019 Q3,-0.29062503123475736,-2.227355620729
2019-11-24,Q2,2021,2820800000,2022900000,797900000,0.2828630175836642,28.286301758366424,2019,4,2019 Q4,0.49109533346994994,0.18447009678770598
2020-02-23,Q3,2021,2555000000,1870600000,684400000,0.267866927592955,26.786692759295498,2020,1,2020 Q1,-1.4996089990709258,-1.4890712102642567
2020-08-30,Q1,2022,2678900000,1868700000,810200000,0.30243756765836727,30.24375676583673,2020,3,2020 Q3,3.4570640065412306,2.1579253097054973
2020-11-29,Q2,2022,5674100000,3975000000,1699100000,0.29944837066671365,29.944837066671365,2020,4,2020 Q4,-0.29891969916536354,2.149630641774891
2021-02-28,Q3,2022,8445200000,5987700000,2457500000,0.2909937005636338,29.099370056363377,2021,1,2021 Q1,-0.8454670103079884,0.8130682979969528
2021-08-29,Q1,2023,2653300000,1979900000,673400000,0.253797158255757,25.3797158255757,2021,3,2021 Q3,-3.7196542307876754,-1.4069769337197968
2021-11-28,Q2,2023,3058900000,2304100000,754800000,0.24675536957729902,24.6755369577299,2021,4,2021 Q4,-0.7041788678458012,-5.568219808106829
2022-02-27,Q3,2023,8625900000,6500500000,2125400000,0.2463974773646808,24.639747736468077,2022,1,2022 Q1,-0.03578922126182249,-5.3050893302032875
2022-08-28,Q1,2024,2904300000,2184000000,720300000,0.2480115690527838,24.80115690527838,2022,3,2022 Q3,0.16140916881030165,-4.2982131510849975
2022-11-27,Q2,2024,3312900000,2390600000,922300000,0.27839657098010806,27.839657098010807,2022,4,2022 Q4,3.038500192732428,2.459941272435106
2023-02-26,Q3,2024,9303700000,6822300000,2481400000,0.26671109343594485,26.671109343594484,2023,1,2023 Q1,-1.1685477544163234,1.995572385864584
2023-08-27,Q1,2025,2904000000,2080900000,823100000,0.2834366391184573,28.34366391184573,2023,3,2023 Q3,1.6725545682512468,3.7039161753776533
2023-11-26,Q2,2025,3208100000,2361500000,846600000,0.26389451700383404,26.389451700383404,2023,4,2023 Q4,-1.9542122114623268,1.5882947951050248
2024-02-25,Q3,2025,3032900000,2174100000,858800000,0.2831613307395562,28.31613307395562,2024,1,2024 Q1,1.9266813735722153,0.47647597594481184
2024-08-25,Q1,2026,2794900000,2055600000,739300000,0.26451751404343626,26.451751404343625,2024,3,2024 Q3,-1.8643816696119941,-0.2193579392508589
2024-11-24,Q2,2026,3195100000,2348400000,846700000,0.2649995305311258,26.49995305311258,2024,4,2024 Q4,0.04820164876895561,-1.84371085873315
2025-02-23,Q3,2025,2841000000,2130700000,710300000,0.250017599436818,25.0017599436818,2025,1,2025 Q1,-1.4981931094307797,-1.387691756701603
2025-08-24,Q1,2026,2632600000,1992000000,640600000,0.24333358656841145,24.333358656841146,2025,3,2025 Q3,-0.6684012868406555,-3.9827744171144737
2025-11-23,Q2,2026,2979100000,2283100000,696000000,0.2336276056527139,23.36276056527139,2025,4,2025 Q4,-0.9705980915697552,-3.0889908390722347
