Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
2022-01-03,453.21038818359375,477.7099914550781,477.8500061035156,473.8500061035156,476.29998779296875,72668200
2022-01-04,453.0585632324219,477.54998779296875,479.9800109863281,475.5799865722656,479.2200012207031,71178700
2022-01-05,444.35894775390625,468.3800048828125,477.9800109863281,468.2799987792969,477.1600036621094,104538900
2022-01-06,443.94140625,467.94000244140625,470.82000732421875,465.42999267578125,467.8900146484375,86858900
2022-01-07,442.1863098144531,466.0899963378906,469.20001220703125,464.6499938964844,467.95001220703125,85111600
2022-01-10,441.63616943359375,465.510009765625,465.739990234375,456.6000061035156,462.70001220703125,119362000
2022-01-11,445.6585998535156,469.75,469.8500061035156,462.04998779296875,465.2300109863281,74303100
2022-01-12,446.8634948730469,471.0199890136719,473.20001220703125,468.94000244140625,471.5899963378906,67605400
2022-01-13,440.70635986328125,464.5299987792969,472.8800048828125,463.44000244140625,472.19000244140625,91173100
2022-01-14,440.8865661621094,464.7200012207031,465.0899963378906,459.8999938964844,461.19000244140625,95890900
2022-01-18,433.0787048339844,456.489990234375,459.9599914550781,455.30999755859375,459.739990234375,109709100
2022-01-19,428.5817565917969,451.75,459.6099853515625,451.4599914550781,458.1300048828125,109357600
2022-01-20,423.8381652832031,446.75,458.739990234375,444.5,453.75,122379700
2022-01-21,415.51800537109375,437.9800109863281,448.05999755859375,437.95001220703125,445.55999755859375,202271200
2022-01-24,417.2825012207031,439.8399963378906,440.3800048828125,420.760009765625,432.0299987792969,251783900
2022-01-25,412.18804931640625,434.4700012207031,439.7200012207031,427.1499938964844,433.05999755859375,167997300
2022-01-26,411.1539001464844,433.3800048828125,444.0400085449219,428.8599853515625,440.7200012207031,186391100
2022-01-27,409.12359619140625,431.239990234375,441.5899963378906,429.45001220703125,438.260009765625,149878300
2022-01-28,419.2843933105469,441.95001220703125,442.0,427.82000732421875,432.67999267578125,164457400
2022-01-31,426.836181640625,449.9100036621094,450.2799987792969,439.80999755859375,441.239990234375,152251400
2022-02-01,429.72015380859375,452.95001220703125,453.6300048828125,446.94000244140625,450.67999267578125,123155400
2022-02-02,433.8946228027344,457.3500061035156,458.1199951171875,453.04998779296875,455.5,117361000
2022-02-03,423.6959533691406,446.6000061035156,452.9700012207031,445.7099914550781,450.95001220703125,118024400
2022-02-04,425.688232421875,448.70001220703125,452.7799987792969,443.8299865722656,446.3500061035156,118454400
2022-02-07,424.32208251953125,447.260009765625,450.989990234375,445.8500061035156,449.510009765625,84472900
2022-02-08,427.8132629394531,450.94000244140625,451.9200134277344,445.2200012207031,446.7300109863281,81012000
2022-02-09,434.0747985839844,457.5400085449219,457.8800048828125,455.010009765625,455.2200012207031,92589900
2022-02-10,426.27642822265625,449.32000732421875,457.7099914550781,447.20001220703125,451.3399963378906,140103700
2022-02-11,417.8707580566406,440.4599914550781,451.6099853515625,438.94000244140625,449.4100036621094,153214600
2022-02-14,416.5046081542969,439.0199890136719,441.6000061035156,435.3399963378906,439.9200134277344,123006300
2022-02-15,423.2215270996094,446.1000061035156,446.2799987792969,443.17999267578125,443.7300109863281,88482700
2022-02-16,423.6959533691406,446.6000061035156,448.05999755859375,441.94000244140625,443.92999267578125,84863600
2022-02-17,414.6451110839844,437.05999755859375,446.57000732421875,436.4200134277344,443.2200012207031,102259100
2022-02-18,411.9603271484375,434.2300109863281,438.6600036621094,431.82000732421875,437.3299865722656,132642900
2022-02-22,407.539306640625,429.57000732421875,435.5,425.8599853515625,431.8900146484375,124391800
2022-02-23,400.31011962890625,421.95001220703125,433.260009765625,421.3500061035156,432.6600036621094,132578000
2022-02-24,406.33441162109375,428.29998779296875,428.760009765625,410.6400146484375,411.0199890136719,213942900
2022-02-25,415.2997741699219,437.75,437.8399963378906,427.8599853515625,429.6099853515625,121804500
2022-02-28,414.2372131347656,436.6300048828125,438.20001220703125,430.70001220703125,432.0299987792969,145615000
