date,nav,cash,open_positions,total_premium_at_risk,premium_at_risk_pct,total_return_pct,current_drawdown_pct,vix_spot
2024-10-14,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.7
2024-10-15,10000.0,10000.0,0,0.0,0.0,0.0,0.0,20.64
2024-10-16,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.58
2024-10-17,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.11
2024-10-18,10000.0,10000.0,0,0.0,0.0,0.0,0.0,18.03
2024-10-21,10543.7,10543.7,1,455.0000000000001,4.3153731612242385,5.437000000000007,0.0,18.37
2024-10-22,11107.7,10543.7,1,455.0000000000001,4.096257551068179,11.077000000000007,0.0,18.2
2024-10-23,10854.400000000001,10854.400000000001,0,0.0,0.0,8.544000000000015,2.2686964898223754,19.24
2024-10-24,10854.400000000001,10854.400000000001,0,0.0,0.0,8.544000000000015,2.2686964898223754,19.08
2024-10-25,11650.500000000002,11650.500000000002,2,2700.0,23.174971031286205,16.505000000000017,2.2686964898223754,20.33
2024-10-28,12691.500000000002,11650.500000000002,2,2700.0,21.274081077886773,26.915000000000017,0.0,19.8
2024-10-29,13521.200000000003,13091.200000000003,1,1834.0,13.563884862290326,35.212000000000025,0.0,19.34
2024-10-30,13627.200000000003,13091.200000000003,1,1834.0,13.458377362921215,36.27200000000003,0.0,20.35
2024-10-31,13141.200000000003,13091.200000000003,1,1834.0,13.95610750920768,31.412000000000024,3.56639661852765,23.16
2024-11-01,13488.900000000003,13440.900000000003,2,1983.0,14.700976358339075,34.88900000000003,3.5810731478220026,21.88
2024-11-04,13785.900000000003,13440.900000000003,2,1983.0,14.384262180923985,37.85900000000003,0.0,21.98
2024-11-05,13868.900000000003,13440.900000000003,2,1983.0,14.298177937687917,38.689000000000036,0.0,20.49
2024-11-06,13945.600000000004,13917.600000000004,1,1834.0,13.151101422670946,39.45600000000004,0.0,16.27
2024-11-07,13937.600000000004,13917.600000000004,1,1834.0,13.158649982780387,39.37600000000004,0.06668148477438908,15.2
2024-11-08,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,14.94
2024-11-11,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,14.97
2024-11-12,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,14.71
2024-11-13,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,14.02
2024-11-14,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,14.31
2024-11-15,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,16.14
2024-11-18,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,15.58
2024-11-19,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,16.35
2024-11-20,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,17.16
2024-11-21,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,16.87
2024-11-22,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,15.24
2024-11-25,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,14.6
2024-11-26,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,14.1
2024-11-27,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,14.1
2024-11-29,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,13.51
2024-12-02,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,13.34
2024-12-03,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,13.3
2024-12-04,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,13.45
2024-12-05,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,13.54
2024-12-06,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,12.77
2024-12-09,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,14.19
2024-12-10,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,14.18
2024-12-11,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,13.58
2024-12-12,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,13.92
2024-12-13,13915.000000000004,13915.000000000004,0,0.0,0.0,39.150000000000034,0.2100825272999682,13.81
