date,nav,cash,open_positions,total_premium_at_risk,premium_at_risk_pct,total_return_pct,current_drawdown_pct,vix_spot
2024-10-14,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.7
2024-10-15,10000.0,10000.0,0,0.0,0.0,0.0,0.0,20.64
2024-10-16,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.58
2024-10-17,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.11
2024-10-18,10000.0,10000.0,0,0.0,0.0,0.0,0.0,18.03
2024-10-21,10000.0,10000.0,0,0.0,0.0,0.0,0.0,18.37
2024-10-22,10000.0,10000.0,0,0.0,0.0,0.0,0.0,18.2
2024-10-23,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.24
2024-10-24,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.08
2024-10-25,10326.8,10326.8,1,3668.0,35.5192315141186,3.2679999999999922,0.0,20.33
2024-10-28,10462.8,10326.8,1,3668.0,35.057537179340144,4.627999999999992,0.0,19.8
2024-10-29,11186.8,10326.8,1,3668.0,32.78864375871563,11.867999999999993,0.0,19.34
2024-10-30,11398.8,10326.8,1,3668.0,32.17882584131663,13.987999999999992,0.0,20.35
2024-10-31,10426.8,10326.8,1,3668.0,35.17857827905014,4.267999999999993,8.52721339088325,23.16
2024-11-01,10422.8,10326.8,1,3668.0,35.19207890394136,4.227999999999993,8.562304804014458,21.88
2024-11-04,10402.8,10326.8,1,3668.0,35.259737762909985,4.0279999999999925,8.737761869670493,21.98
2024-11-05,10390.8,10326.8,1,3668.0,35.30045809754783,3.907999999999993,8.843036109064114,20.49
