date,nav,cash,open_positions,total_premium_at_risk,premium_at_risk_pct,total_return_pct,current_drawdown_pct,vix_spot
2024-10-14,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.7
2024-10-15,10000.0,10000.0,0,0.0,0.0,0.0,0.0,20.64
2024-10-16,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.58
2024-10-17,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.11
2024-10-18,10000.0,10000.0,0,0.0,0.0,0.0,0.0,18.03
2024-10-21,10000.0,10000.0,0,0.0,0.0,0.0,0.0,18.37
2024-10-22,10000.0,10000.0,0,0.0,0.0,0.0,0.0,18.2
2024-10-23,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.24
2024-10-24,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.08
2024-10-25,10163.4,10163.4,1,1834.0,18.045142373615132,1.6339999999999961,0.0,20.33
2024-10-28,10231.4,10163.4,1,1834.0,17.925210626111774,2.313999999999996,0.0,19.8
2024-10-29,10593.4,10163.4,1,1834.0,17.312666377178243,5.933999999999997,0.0,19.34
2024-10-30,10699.4,10163.4,1,1834.0,17.141148101762717,6.993999999999996,0.0,20.35
2024-10-31,10213.4,10163.4,1,1834.0,17.956801848551905,2.1339999999999963,4.542310783782268,23.16
2024-11-01,10846.1,10798.1,2,1998.0,18.421368049344924,8.461000000000004,4.561003420752566,21.88
2024-11-04,11427.1,10798.1,2,1998.0,17.48475116171207,14.271000000000003,0.0,21.98
2024-11-05,11511.1,10798.1,2,1998.0,17.357159611157925,15.111000000000004,0.0,20.49
2024-11-06,11591.800000000001,11563.800000000001,1,1834.0,15.82152901188771,15.91800000000001,0.0,16.27
2024-11-07,11583.800000000001,11563.800000000001,1,1834.0,15.83245567085067,15.83800000000001,0.08022013093994938,15.2
2024-11-08,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,14.94
2024-11-11,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,14.97
2024-11-12,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,14.71
2024-11-13,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,14.02
2024-11-14,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,14.31
2024-11-15,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,16.14
2024-11-18,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,15.58
2024-11-19,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,16.35
2024-11-20,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,17.16
2024-11-21,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,16.87
2024-11-22,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,15.24
2024-11-25,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,14.6
2024-11-26,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,14.1
2024-11-27,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,14.1
2024-11-29,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,13.51
2024-12-02,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,13.34
2024-12-03,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,13.3
2024-12-04,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,13.45
2024-12-05,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,13.54
2024-12-06,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,12.77
2024-12-09,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,14.19
2024-12-10,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,14.18
2024-12-11,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,13.58
2024-12-12,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,13.92
2024-12-13,11561.2,11561.2,0,0.0,0.0,15.612000000000007,0.25273654156350994,13.81
