config_name,risk_scenario,strike_scenario,sizing_scenario,strategy_scenario,success,total_return,max_drawdown,sharpe_ratio,win_rate,num_trades,circuit_breaker
very_aggressive_base_small_all_enabled,very_aggressive,base,small,all_enabled,True,59.01,3.41,5.51,60.00,5,False
very_aggressive_base_small_high_conviction,very_aggressive,base,small,high_conviction,True,18.42,4.22,4.06,33.30,3,False
very_aggressive_base_small_msft_only,very_aggressive,base,small,msft_only,True,1.61,5.01,0.70,0.00,1,False
very_aggressive_base_normal_all_enabled,very_aggressive,base,normal,all_enabled,True,11.76,8.75,2.16,0.00,2,False
very_aggressive_base_normal_high_conviction,very_aggressive,base,normal,high_conviction,True,11.76,8.75,2.16,0.00,2,False
very_aggressive_base_normal_msft_only,very_aggressive,base,normal,msft_only,True,3.22,9.40,0.79,0.00,1,False
very_aggressive_base_large_all_enabled,very_aggressive,base,large,all_enabled,True,12.56,10.63,2.03,0.00,2,False
very_aggressive_base_large_high_conviction,very_aggressive,base,large,high_conviction,True,12.56,10.63,2.03,0.00,2,False
very_aggressive_base_large_msft_only,very_aggressive,base,large,msft_only,True,54.02,10.72,1.57,100.00,1,True
very_aggressive_narrow_small_all_enabled,very_aggressive,narrow,small,all_enabled,True,34.14,3.80,4.74,60.00,5,False
very_aggressive_narrow_small_high_conviction,very_aggressive,narrow,small,high_conviction,True,14.84,4.26,3.69,33.30,3,False
very_aggressive_narrow_small_msft_only,very_aggressive,narrow,small,msft_only,True,1.61,5.01,0.70,0.00,1,False
very_aggressive_narrow_normal_all_enabled,very_aggressive,narrow,normal,all_enabled,True,10.76,8.82,2.07,0.00,2,False
very_aggressive_narrow_normal_high_conviction,very_aggressive,narrow,normal,high_conviction,True,10.76,8.82,2.07,0.00,2,False
very_aggressive_narrow_normal_msft_only,very_aggressive,narrow,normal,msft_only,True,3.22,9.40,0.79,0.00,1,False
very_aggressive_narrow_large_all_enabled,very_aggressive,narrow,large,all_enabled,True,61.56,10.08,3.37,50.00,2,True
